Designator,Mid X,Mid Y,Layer,Rotation
R109,50.958705mm,14.842205000000003mm,Top,0.0
R108,53.875005mm,15.231005000000003mm,Bottom,0.0
Q103,50.232205mm,12.778205000000003mm,Top,0.0
Q102,45.680005mm,10.175005000000006mm,Top,0.0
Q101,51.402505mm,9.940005000000006mm,Bottom,180.0
Q100,54.775005mm,12.580005000000003mm,Bottom,90.0
L100,44.875605mm,28.625005mm,Bottom,0.0
F100,43.020005mm,9.946605000000005mm,Bottom,0.0
C120,46.774905000000004mm,28.775505000000003mm,Top,180.0
C107,51.896505mm,12.175005000000002mm,Bottom,180.0
C106,51.871505mm,16.518105000000002mm,Bottom,180.0
U110,52.321905mm,18.570105mm,Bottom,90.0
R145,52.282804999999996mm,21.530305000000002mm,Bottom,180.0
R144,52.282804999999996mm,20.584805000000003mm,Bottom,180.0
R143,58.878205mm,32.743805mm,Bottom,90.0
R107,50.161105mm,10.596605000000004mm,Top,180.0
D108,50.521905000000004mm,9.225005000000003mm,Top,0.0
U107,29.168505mm,32.771105000000006mm,Bottom,180.0
U106,28.482605mm,19.343205000000005mm,Top,180.0
C134,29.168505mm,34.507405000000006mm,Bottom,180.0
C126,28.179805mm,17.399905000000004mm,Top,0.0
VD102,31.428805mm,37.380005000000004mm,Bottom,90.0
VD101,28.075004999999997mm,41.770005000000005mm,Bottom,270.0
VD100,31.428805mm,41.770005000000005mm,Bottom,270.0
U109,30.894805mm,39.491005mm,Top,180.0
U103,53.775005mm,26.150005000000004mm,Bottom,90.0
U100,56.174905mm,19.474505000000004mm,Top,270.0
U195,48.975004999999996mm,33.625005mm,Top,270.0
U190,34.775005mm,33.625005mm,Top,270.0
U185,56.075005mm,33.625005mm,Top,270.0
U180,41.875005mm,33.625005mm,Top,270.0
S101,40.075305mm,10.360705000000003mm,Top,180.0
S100,28.928505mm,23.475005000000003mm,Top,270.0
R140,34.974905mm,39.675005000000006mm,Bottom,180.0
R111,58.775005mm,28.325005000000004mm,Bottom,0.0
R112,58.775005mm,27.275005000000004mm,Bottom,0.0
R117,58.775005mm,22.025005000000004mm,Bottom,0.0
R115,58.775005mm,24.125005mm,Bottom,0.0
R116,58.775005mm,23.075005000000004mm,Bottom,0.0
R114,58.775005mm,25.175005000000002mm,Bottom,0.0
R113,58.775005mm,26.225005000000003mm,Bottom,0.0
R110,58.775005mm,29.375005mm,Bottom,0.0
R120,28.456705mm,16.188005000000004mm,Top,180.0
R100,59.074905mm,19.475005000000003mm,Bottom,270.0
R258,38.317305000000005mm,40.180105000000005mm,Bottom,90.0
R255,59.125005mm,42.075005000000004mm,Bottom,90.0
R256,37.375005mm,37.475005mm,Bottom,270.0
R254,59.225005mm,39.625005mm,Top,90.0
R245,41.674904999999995mm,41.125005mm,Bottom,180.0
R227,46.475004999999996mm,41.125005mm,Bottom,180.0
R200,56.074905mm,41.125005mm,Bottom,180.0
R197,48.974905mm,32.27500500000001mm,Bottom,0.0
R196,48.975004999999996mm,35.075005000000004mm,Bottom,180.0
R195,46.124905mm,35.575005000000004mm,Bottom,90.0
R191,34.875005mm,32.27500500000001mm,Bottom,0.0
R190,34.875005mm,35.075005000000004mm,Bottom,180.0
R186,56.075005mm,32.27500500000001mm,Bottom,0.0
R185,56.075005mm,35.075005000000004mm,Bottom,180.0
R181,41.875005mm,32.27500500000001mm,Bottom,0.0
R180,41.875005mm,35.075005000000004mm,Bottom,180.0
R139,33.775005mm,42.175005000000006mm,Top,90.0
R138,34.975004999999996mm,42.175005000000006mm,Top,90.0
R137,36.175005mm,42.175005000000006mm,Top,90.0
R136,37.375005mm,42.175005000000006mm,Top,90.0
R135,33.775005mm,41.175005000000006mm,Top,270.0
R132,34.975004999999996mm,41.175005000000006mm,Top,270.0
R126,36.175005mm,41.175005000000006mm,Top,270.0
R124,37.375005mm,41.175005000000006mm,Top,270.0
R119,58.175005mm,28.275005000000004mm,Top,270.0
R118,58.175005mm,24.175005000000002mm,Top,270.0
R253,39.775005mm,42.175005000000006mm,Top,270.0
R252,40.975004999999996mm,42.175005000000006mm,Top,270.0
R251,42.175005mm,42.175005000000006mm,Top,270.0
R250,43.375005mm,42.175005000000006mm,Top,270.0
R249,39.775005mm,41.175005000000006mm,Top,90.0
R248,40.975004999999996mm,41.175005000000006mm,Top,90.0
R247,42.175005mm,41.175005000000006mm,Top,90.0
R246,43.375005mm,41.175005000000006mm,Top,90.0
R235,44.575005000000004mm,42.175005000000006mm,Top,270.0
R234,45.775005mm,42.175005000000006mm,Top,270.0
R233,46.975004999999996mm,42.175005000000006mm,Top,270.0
R232,48.175005mm,42.175005000000006mm,Top,270.0
R231,44.575005000000004mm,41.175005000000006mm,Top,90.0
R230,45.775005mm,41.175005000000006mm,Top,90.0
R229,46.975004999999996mm,41.175005000000006mm,Top,90.0
R228,48.175005mm,41.175005000000006mm,Top,90.0
R226,49.375005mm,42.175005000000006mm,Top,90.0
R225,50.575005000000004mm,42.175005000000006mm,Top,90.0
R224,51.775005mm,42.175005000000006mm,Top,90.0
R223,52.975005mm,42.175005000000006mm,Top,90.0
R222,49.375005mm,41.175005000000006mm,Top,270.0
R221,50.575005000000004mm,41.175005000000006mm,Top,270.0
R220,51.775005mm,41.175005000000006mm,Top,270.0
R219,52.975005mm,41.175005000000006mm,Top,270.0
R218,51.275005mm,41.125005mm,Bottom,180.0
R208,54.175005mm,42.175005000000006mm,Top,90.0
R207,55.375005mm,42.175005000000006mm,Top,90.0
R206,56.575005mm,42.175005000000006mm,Top,90.0
R205,57.775005mm,42.175005000000006mm,Top,90.0
R204,54.175005mm,41.175005000000006mm,Top,270.0
